中央卫视,#genre#
CCTV1 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV1 高清,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?I
CCTV1 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV2 高清,http://39.135.34.150:8080/000000001000/1000000001000012442/1.m3u8?I
CCTV2 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV3 高清,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?I
CCTV3 高清,http://193.202.44.14/gz.php?id=cctv3hd
CCTV4 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV4 高清,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?I
CCTV4 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5 高清,http://112.17.40.8:80/PLTV/88888888/224/3221226687/1.m3u8
CCTV5 高清,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?I
CCTV5 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV5+ 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV5+ 高清,http://39.135.34.150:8080/000000001000/1000000001000020505/1.m3u8?I
CCTV6 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV6 高清,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?I
CCTV6 高清,http://liveplay-kk.rtxapp.com/live/program/live/cctv6hd/2300000/mnf.m3u8
CCTV7 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV7 高清,http://39.135.34.150:8080/000000001000/7050628689018054317/1.m3u8?I
CCTV7 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV8 高清,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?I
CCTV8 高清,http://193.202.44.14/gz.php?id=cctv8hd
CCTV9 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV9 高清,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?I
CCTV9 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV10 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV10 高清,http://39.135.34.150:8080/000000001000/7019587760656900133/1.m3u8?I
CCTV10 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV11 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV11 高清,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?I
CCTV11 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV12 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV12 高清,http://39.135.34.150:8080/000000001000/5325631075193490169/1.m3u8?I
CCTV12 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV13 高清,http://223.110.241.130:6610/gitv/live1/G_CCTV-13-HQ/.m3u8
CCTV13 高清,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?I
CCTV13 高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV14 高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
