
轮播频道,#genre#

【僵尸】林正英搞笑系列,http://tx.hls.huya.com/huyalive/94525224-2460686034-10568566041753944064-2789274542-10057-A-0-1.m3u8
【动作】成龙武打动作经典,http://tx.hls.huya.com/huyalive/94525224-2460685722-10568564701724147712-2789253838-10057-A-0-1.m3u8
黑礁·黑帮题材动画 军火女王大姐头,http://tx.hls.huya.com/huyalive/30765679-2523417506-10837995662423883776-2777071322-10057-A-0-1.m3u8
【毛骗】烧脑！街头小骗子的连环骗术！,http://tx.hls.huya.com/huyalive/28466698-2689654432-11551977822981455872-2847687622-10057-A-0-1.m3u8
【回放】坚定希望 中国加油”线上公益音乐会,http://tx.hls.huya.com/huyalive/1446492487-1446492487-6212637925574705152-3135698856-10057-A-0-1.m3u8
好尸分分钟带你看完电影,http://tx.hls.huya.com/huyalive/94525224-2702136290-11605586994884771840-4573721796-10057-A-0-1.m3u8
【蜡笔小新】小新的日常生活,http://tx.hls.huya.com/huyalive/94525224-2503194318-10751137731343024128-2847699212-10057-A-0-1.m3u8
【爱情公寓】全程高能无尿点,http://tx.hls.huya.com/huyalive/30765679-2523417493-10837995606589308928-2777071594-10057-A-0-1.m3u8
【新三国】滚滚长江东逝水,http://tx.hls.huya.com/huyalive/30765679-2523417353-10837995005293887488-2847699118-10057-A-0-1.m3u8
【神探狄仁杰】元芳 你怎么看,http://tx.hls.huya.com/huyalive/28466698-2689651522-11551965324626624512-2847699166-10057-A-0-1.m3u8
【剧集】铁齿铜牙纪晓岚,http://tx.hls.huya.com/huyalive/94525224-2468571348-10602433207502635008-2789253864-10057-A-0-1.m3u8
李连杰功夫大片专场,http://tx.hls.huya.com/huyalive/94525224-2460686093-10568566295157014528-2789253848-10057-A-0-1.m3u8
【奔跑吧兄dei】We are 伐木累,http://tx.hls.huya.com/huyalive/30765679-2554414938-10971128619123867648-3048959644-10057-A-0-1.m3u8
极限挑战·男人帮爆笑来袭,http://tx.hls.huya.com/huyalive/28466698-2689655562-11551982676294500352-2847687628-10057-A-0-1.m3u8
